Origin,0,2,2,0.1,0,0,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,4,11,0.1,0,2,0,0,,D503,R515,
D503,2225d6,4,5.9,1.5,-1,6,0,270,,ZD502,C518,
ZD502,470fff,4.7,3.35,0.78,-1,10,0,270,,R519,null,
R519,ff8e61,3.02,2.51,0.51,1,14.7,0,0,,null,R526,
R526,0361ad,2.8,3.6,0.45,-1,14.7,2.51,0,,null,null,
C518,65735,3.6,2.8,0.8,-1,6,5.9,0,,ZD501,C525,
ZD501,0e5ac4,5.85,3.7,1.45,-1,9.6,6.11,270,,Q504,D506,
Q504,3282bf,8.15,7.35,1,-1,15.45,6.11,0,,M503,C520,
M503,1a1a1a,11.4,15.5,1.35,0,23.6,0,0,,R530,R523,
R530,f24b4b,5.2,3.6,0.6,1,35,0,180,,null,ZD504,
ZD504,e02900,5.6,7.4,2.3,1,35,3.6,0,,null,null,
R523,ad430e,2.8,3.6,0.45,1,23.6,15.5,0,,null,null,
C520,7babd1,3,2.5,0.5,-1,15.45,13.46,180,,null,null,
D506,225d6e,4.8,3.35,1.1,-1,9.6,9.81,90,,null,R518,
R518,3609d9,2.51,3.02,0.51,-1,9.6,13.16,270,,null,null,
C525,385369,2.8,3.6,0.8,-1,6,8.7,0,,null,C506,
C506,1f2a8c,3.6,5.2,1.6,-1,6,12.3,0,,null,null,
R515,6857b5,5.2,3.6,0.6,-1,2,17.5,0,,R517,null,
R517,4e1f8c,4,3.25,0.6,-1,7.2,17.5,0,,null,null,
B_RootHole,0,4,11,0.1,0,0,0,0,,C505,null,
C505,092cb8,3.6,5.2,1.6,-1,4,0,0,,R501,L501,
R501,191282,4,3.25,0.5,-1,7.6,0,0,,R527,R532,
R527,00a5e0,3.02,2.51,0.51,-1,11.6,0,180,,null,R520,
R520,9049A1,3.02,2.51,0.51,-1,11.6,2.51,180,,null,null,
R532,e0a500,3.6,5.2,0.6,1,7.6,3.25,270,,D505,null,
D505,fc9803,5.9,4,1.5,1,11.2,5.02,180,,C512,D508,
C512,f27a46,3.9,5.5,1.9,1,17.1,0,270,,R531,null,
R531,ff6161,5.2,3.6,0.6,1,21,0,0,,null,T501,
T501,cecad4,26,24,24.9,0,21,3.6,270,,null,null,
D508,ffc72b,5.9,4,1.2,1,11.2,9.02,270,,null,C502,
C502,4595ad,5.5,3.9,1.9,-1,11.2,13.02,0,,D501,C519,
D501,2e6ef0,3.7,5.85,1.45,-1,16.7,13.02,0,,null,null,
C519,d49c11,4,3.25,1.25,1,11.2,16.92,180,,null,null,
L501,368f99,6.6,6.1,2,-1,4,8.45,0,,C511,D509,
C511,5a12a6,3.9,5.5,1.9,-1,10.6,20.17,270,,null,null,
D509,3181f2,3.7,5.85,1.45,-1,4,14.55,0,,R503,C507,
R503,055d7d,5.2,3.6,0.6,-1,7.7,25.67,0,,null,null,
C507,094a66,9.8,8.8,6.1,-1,4,29.27,0,,null,null,
