Origin,0,0,0,0.1,0,0,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0,0,0,,R517,C505,
R517,4e1f8c,2,1.25,0.6,-1,2,0,180,,null,C507,
C507,094a66,7.8,6.8,6.1,-1,2,1.25,0,,ZD504,null,
ZD504,e02900,5.4,3.6,2.3,1,9.8,0,90,,D508,null,
D508,ffc72b,3.9,2,1.2,1,15.2,0,90,,R530,R519,
R530,f24b4b,1.6,3.2,0.6,1,19.1,0,90,,null,null,
R519,ff8e61,0.51,1.02,0.51,1,15.2,2,90,,D505,null,
D505,fc9803,3.9,2,1.5,1,15.71,3.2,0,,C512,null,
C512,f27a46,1.9,3.5,1.9,1,19.61,3.2,270,,null,null,
C505,092cb8,3.2,1.6,1.6,-1,0,9,90,,C520,T501,
C520,7babd1,1,0.5,0.5,-1,3.2,8.05,180,,null,R503,
R503,055d7d,3.2,1.6,0.6,-1,3.2,8.55,180,,C511,D506,
C511,5a12a6,3.5,1.9,1.9,-1,6.4,8.05,180,,R532,null,
R532,e0a500,3.2,1.6,0.6,1,9.9,3.6,0,,null,R515,
R515,6857b5,1.6,3.2,0.6,-1,9.9,5.2,90,,D501,null,
D501,2e6ef0,3.85,1.7,1.45,-1,11.5,5.2,90,,R523,D509,
R523,ad430e,1.6,0.8,0.45,1,15.35,5.2,90,,null,C519,
C519,d49c11,1.25,2,1.25,1,15.35,6,270,,null,R531,
R531,ff6161,3.2,1.6,0.6,1,15.35,8,0,,null,null,
D509,3181f2,1.7,3.85,1.45,-1,11.5,6.9,180,,null,null,
D506,225d6e,2.8,1.35,1.1,-1,3.2,10.15,270,,ZD502,null,
ZD502,470fff,2.7,1.35,0.78,-1,6,10.15,90,,C518,null,
C518,65735,0.8,1.6,0.8,-1,8.7,9.95,90,,null,null,
T501,cecad4,22,24,24.9,0,0,11.55,180,,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0,,Q504,R501,
Q504,3282bf,5.35,6.15,1,-1,2,0,270,,M503,null,
M503,1a1a1a,9.4,13.5,1.35,0,7.35,0,180,,null,null,
R501,191282,2,1.25,0.5,-1,0,9,180,,null,R520,
R520,9049A1,0.51,1.02,0.51,-1,0,10.25,90,,R526,D503,
R526,0361ad,0.8,1.6,0.45,-1,0.51,10.25,180,,null,null,
D503,2225d6,2,3.9,1.5,-1,0,11.85,90,,R518,ZD501,
R518,3609d9,0.51,1.02,0.51,-1,2,6.15,90,,null,L501,
L501,368f99,4.6,4.1,2,-1,2,7.17,180,,null,R527,
R527,00a5e0,0.51,1.02,0.51,-1,2,11.27,90,,C525,null,
C525,385369,0.8,1.6,0.8,-1,2.51,11.27,180,,C506,null,
C506,1f2a8c,1.6,3.2,1.6,-1,3.31,11.27,0,,C502,null,
C502,4595ad,1.9,3.5,1.9,-1,4.91,11.27,90,,null,null,
ZD501,0e5ac4,3.85,1.7,1.45,-1,0,15.75,270,,null,null,
